"mot","nature","niveau","définition FR","équivalent EN","thème","note d'usage","exemple en contexte"
"de peur de","loc.prép.","B2","Par crainte que, afin d'éviter que.","for fear of","Caractère","Suivi d'un infinitif ou que + subjonctif","Ce fonctionnaire lui intima l'ordre de ne pas faire de feu dehors, de peur de mettre en danger la croissance de cette forêt naturelle."
"une désolation","n.f.","B2","État d'un lieu ou d'une situation complètement ravagé, sans vie.","desolation","Paysage","","après trois jours de marche, je me trouvais dans une désolation sans exemple."
"se remettre à","loc.v.","B2","Recommencer quelque chose après une interruption.","to start again, to resume","Caractère","Verbe pronominal + infinitif","Les vieilles sources, alimentées par les pluies et les neiges qui retiennent les forêts, se sont remises à couler."
"dru","adj.","C1","Qui pousse serré et vigoureux, touffu (végétation, barbe).","thick, dense, vigorous","Flore/faune","Forme féminine : drue","Les chênes étaient drus et avaient dépassé l'âge où ils étaient à la merci des rongeurs."
"crépir","v.","C1","Enduire un mur d'un crépi, mortier grossier qui protège la façade.","to plaster, to render (a wall)","Habitat","Souvent au participe passé : crépi/crépie","Les maisons neuves, crépies de frais, étaient entourées de jardins potagers."
"le grillage","n.m.","B2","Treillis de fils métalliques formant une clôture ou une protection.","wire mesh, wire fence","Habitat","","Les sujets qu'il avait protégés de ses moutons par une barrière en grillage, étaient de toute beauté."
"une guêpe","n.f.","B1","Insecte volant jaune et noir, qui peut piquer.","wasp","Flore/faune","","Ces maisons agglomérées [...] me firent penser qu'il avait dû y avoir là, dans le temps, une fontaine ou un puits... comme un vieux nid de guêpes."
"la croissance","n.f.","B2","Fait de croître, de grandir, de se développer.","growth","Flore/faune","","Ce fonctionnaire lui intima l'ordre de ne pas faire de feu dehors, de peur de mettre en danger la croissance de cette forêt naturelle."
"une pâture","n.f.","B2","Terrain où les animaux broutent, pâturage.","pasture, grazing ground","Flore/faune","","La pâture de ses bêtes était dans un fond de combe."
"une épidémie","n.f.","B2","Propagation rapide d'une maladie ou, par extension, d'un phénomène négatif.","epidemic","Société","Sens figuré ici : vague de suicides","Il y a des épidémies de suicides et de nombreux cas de folies, presque toujours meurtrières."
"dévoiler","v.","B2","Révéler ce qui était caché, faire apparaître au grand jour.","to reveal, to unveil","Caractère","","Pour que le caractère d'un être humain dévoile des qualités vraiment exceptionnelles, il faut avoir la bonne fortune de pouvoir observer son action pendant de longues années."
"l'assurance","n.f.","B2","Confiance en soi, certitude tranquille de sa propre valeur.","self-confidence, assurance","Caractère","Ne pas confondre avec assurance (insurance)","on le sentait sûr de lui et confiant dans cette assurance."
"la concurrence","n.f.","B2","Rivalité entre personnes ou groupes qui visent le même objectif.","competition, rivalry","Société","","Il y avait une concurrence sur tout, aussi bien pour la vente du charbon que pour le banc à l'église."
"une prime","n.f.","B1","Somme d'argent versée en plus du salaire, comme récompense ou indemnité.","bonus, allowance, benefit","Société","","Sorti de la guerre, je me trouvais à la tête d'une prime de démobilisation minuscule mais avec le grand désir de respirer un peu d'air pur."
"se retirer","v.","B2","Se retirer dans un endroit pour vivre à l'écart, s'isoler.","to retire, to withdraw","Caractère","Verbe pronominal","Il s'était retiré dans la solitude où il prenait plaisir à vivre lentement, avec ses brebis et son chien."
"la solitude","n.f.","B1","État de celui qui vit seul, loin des autres ; lieu écarté et désert.","solitude, isolation","Caractère","","Pour avoir une idée [...] il ne faut pas oublier qu'il s'exerçait dans une solitude totale."
"une récompense","n.f.","B1","Ce qu'on donne ou reçoit en échange d'un service, d'un mérite ou d'un effort.","reward, recompense","Caractère","","si l'idée qui la dirige est d'une générosité sans exemple, s'il est absolument certain qu'elle n'a pas cherché de récompense nulle part [...]"
